name	CARGs	M9	F29	F42	F4	F9	M17	M24	F1	M11	F23	M1	F44	F11	F33	F53
6___Prevotella copri	CARG6	0.688452011	1.074739927	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	0.516564513	0.025877149	1.048561768	0.020759891	2.06199533	1.593949225	1.997534684
21__Coprobacillus sp.	CARG6	-1.498314961	0.038647995	-1.572475461	-0.297141446	-0.576201012	-0.266062589	-1.468283489	-0.512743834	0.818615841	-0.9932829	-0.799693638	-1.451922377	-0.24598632	-0.179622278	-1.099168673
52__Coprococcus comes	CARG6	0.027813146	5.257036284	0.187877085	0.507836091	0.597228398	0.022386845	-0.450801688	0.403799948	-1.696410007	0.588523072	0.846883185	0.435878799	0.551042173	0.426638215	1.47353005
98__Bacteroides massiliensis	CARG6	0.027813146	0.79252655	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	-3.000425701	1.711200785	0.020759891	0.153740375	1.096110797	0.075483649
20__Ruminococcus faecis	CARG6	0.027813146	0.038647995	-0.712868276	0.074616178	-0.376085118	0.022386845	-1.163071887	-0.347597981	-0.633274922	-0.91317126	-0.305023386	-1.184510772	0.269672902	-1.159166112	1.131344094
69__Adlercreutzia equolifaciens 	CARG6	0.027813146	5.108695055	0.211491439	1.236147304	0.309495945	0.653586617	-0.99907206	0.526533068	-0.144070791	0.025877149	0.624987283	0.020759891	0.95892675	0.761604915	-0.983977732
41__Eubacterium oxidoreducens	CARG7	0.027813146	0.038647995	-1.602784309	0.074616178	-1.63097527	0.234086383	-0.04448106	-0.432412637	-0.870527558	-0.770336408	-0.147658394	0.020759891	-1.076861336	-0.939486408	-1.058546507
5___Ruminococcus bromi	CARG7	-1.642480042	0.391146749	0.096917665	-2.038348056	-0.869534735	-0.862124612	-0.734254496	-0.357303847	0.89202114	0.025877149	-0.458796165	-0.477078537	-4.731879913	-0.24773077	-1.578038536
7___Bacteroides uniformis	CARG7	-1.382830244	-1.127508209	-1.569811851	-0.804218931	-0.187511034	-0.044777519	0.708914312	0.226562252	1.118702271	-3.354678544	-1.666857684	-1.224775239	-3.30475786	0.826126313	-3.238562843
55__Coprococcus eutactus	CARG7	0.027813146	0.038647995	-6.63540821	0.074616178	-4.950398677	-1.013705087	-5.838771099	-0.494501264	1.010274394	0.025877149	-3.656629283	0.020759891	-3.603222446	-3.696943956	-5.909368173
65__Ruminococcus lactaris	CARG7	1.063905078	0.038647995	-1.492794504	0.074616178	-2.818061722	0.022386845	0.094438177	0.086775252	-0.144070791	-5.981594955	-3.329427803	-2.395082741	-1.930968957	-0.746408867	-3.199944345
2___Agathobacter rectalis	CARG7	-0.487670871	0.038647995	-1.428446279	0.268426174	-1.850124976	1.36940161	-0.419376642	-0.277532758	3.555532942	-0.440683109	-1.415368463	-0.360598819	-1.427614037	-2.298328195	-1.357833831
50__Ruminococcus torques	CARG7	-0.864775474	0.959968076	-1.246347958	0.520942077	0.036316434	-1.061997561	-1.091843514	-0.004570731	-0.144070791	-1.010214783	0.012469837	0.732539156	-3.54051675	-0.154507938	-2.253891677
25__Streptococcus vestibularis	CARG7	0.097044938	-0.927867242	-2.664771145	-0.99606848	1.328476731	-0.599046731	-1.617577518	0.293698023	-0.427646082	-1.681799204	1.418951799	-0.50236097	-0.084994617	0.331297659	-2.871310791
76__Alistipes obesi	CARG7	0.027813146	-0.459190433	-0.803155639	-0.402044632	-0.143990655	-0.307887025	0.094438177	-0.170237853	-0.144070791	0.025877149	2.293954758	0.020759891	-0.882351556	0.060018866	-1.551320836
