name	M9	F29	F42	F4	F9	M17	M24	F1	M11	F23	M1	F44	F11	F33	F53
6___Prevotella copri*	0.688452011	1.074739927	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	0.516564513	0.025877149	1.048561768	0.020759891	2.06199533	1.593949225	1.997534684
79__Muribaculaceae	0.027813146	0.038647995	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	1.139596406	0.025877149	0.012469837	0.020759891	0.153740375	0.060018866	0.435145852
11__Subdoligranulum variabile*	0.027813146	0.038647995	0.668283653	-0.006035169	0.688014603	0.022386845	0.59922646	0.04280744	-0.581155647	1.897561157	1.63581497	1.711757515	0.115298743	0.783627689	0.292821397
4___Bifidobacterium longum*	0.649640443	1.074739927	1.460861372	0.074616178	0.164493663	0.022386845	0.681776671	-0.657696198	-0.144070791	2.08353559	5.916064764	0.776012921	1.78667916	0.802902674	2.132340275
21__Coprobacillus sp.*	-1.498314961	0.038647995	-1.572475461	-0.297141446	-0.576201012	-0.266062589	-1.468283489	-0.512743834	0.818615841	-0.9932829	-0.799693638	-1.451922377	-0.24598632	-0.179622278	-1.099168673
85__Blautia obeum*	-0.52649759	0.038647995	0.769773197	1.87712368	1.799991341	3.899253594	1.145235715	-0.862728427	-0.724909968	4.410596234	2.246927694	2.148585999	0.784544425	0.873676108	2.192494669
38_____Phascolarctobacterium succinatutens*	0.027813146	0.038647995	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	0.025877149	1.640359166	0.619715751	0.153740375	0.060018866	0.691630099
46__Clostridium leptum*	0.791938173	0.011453933	2.944876283	1.991763282	2.20444805	0.755274354	2.078814606	0.98502282	-0.144070791	0.025877149	1.048561768	0.965053644	-1.3986919	1.867036489	3.289184819
53__Bacteroides plebeius*	0.027813146	0.038647995	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	1.751127632	0.335174105	0.020759891	0.153740375	0.060018866	1.111575581
56__Bacteroides sp*	0.027813146	0.038647995	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	1.679353366	5.023711008	2.133724125	0.153740375	0.060018866	0.075483649
32__Mollicultes*	0.027813146	0.038647995	1.20312768	0.074616178	0.036316434	0.022386845	0.094438177	-2.858948887	2.599697492	0.025877149	0.012469837	0.020759891	0.153740375	0.060018866	1.111575581
41__Eubacterium oxidoreducens*	0.027813146	0.038647995	-1.602784309	0.074616178	-1.63097527	0.234086383	-0.04448106	-0.432412637	-0.870527558	-0.770336408	-0.147658394	0.020759891	-1.076861336	-0.939486408	-1.058546507
