samples	Treatment
F1	AX_Baseline
F4	AX_Baseline
F9	AX_Baseline
F11	AX_Baseline
F23	AX_Baseline
F29	AX_Baseline
F33	AX_Baseline
F42	AX_Baseline
F44	AX_Baseline
F53	AX_Baseline
M1	AX_Baseline
M9	AX_Baseline
M11	AX_Baseline
M17	AX_Baseline
M24	AX_Baseline
F1W1	AX_Week1
F4W1	AX_Week1
F9W1	AX_Week1
F11W1	AX_Week1
F23W1	AX_Week1
F29W1	AX_Week1
F33W1	AX_Week1
F42W1	AX_Week1
F44W1	AX_Week1
F53W1	AX_Week1
M1W1	AX_Week1
M9W1	AX_Week1
M11W1	AX_Week1
M17W1	AX_Week1
M24W1	AX_Week1
F1W6	AX_Week6
F4W6	AX_Week6
F9W6	AX_Week6
F11W6	AX_Week6
F23W6	AX_Week6
F29W6	AX_Week6
F33W6	AX_Week6
F42W6	AX_Week6
F44W6	AX_Week6
F53W6	AX_Week6
M1W6	AX_Week6
M9W6	AX_Week6
M11W6	AX_Week6
M17W6	AX_Week6
M24W6	AX_Week6
F6	Mcc_Baseline
F12	Mcc_Baseline
F15	Mcc_Baseline
F26	Mcc_Baseline
F30	Mcc_Baseline
F38	Mcc_Baseline
F43	Mcc_Baseline
F45	Mcc_Baseline
F49	Mcc_Baseline
F51	Mcc_Baseline
F55	Mcc_Baseline
M7	Mcc_Baseline
M12	Mcc_Baseline
M15	Mcc_Baseline
M22	Mcc_Baseline
M26	Mcc_Baseline
F6W1	Mcc_Week1
F12W1	Mcc_Week1
F15W1	Mcc_Week1
F26W1	Mcc_Week1
F30W1	Mcc_Week1
F38W1	Mcc_Week1
F43W1	Mcc_Week1
F45W1	Mcc_Week1
F49W1	Mcc_Week1
F51W1	Mcc_Week1
F55W1	Mcc_Week1
M7W1	Mcc_Week1
M12W1	Mcc_Week1
M15W1	Mcc_Week1
M22W1	Mcc_Week1
M26W1	Mcc_Week1
F6W6	Mcc_Week6
F12W6	Mcc_Week6
F15W6	Mcc_Week6
F26W6	Mcc_Week6
F30W6	Mcc_Week6
F38W2	Mcc_Week6
F43W6	Mcc_Week6
F45W6	Mcc_Week6
F49W6	Mcc_Week6
F51W6	Mcc_Week6
F55W6	Mcc_Week6
M7W6	Mcc_Week6
M12W6	Mcc_Week6
M15W6	Mcc_Week6
M22W6	Mcc_Week6
M26W6	Mcc_Week6
