ID	Treatment	OTU1	OTU10	OTU106	OTU107	OTU11	OTU116	OTU12	OTU13	OTU135	OTU14	OTU140	OTU15	OTU151	OTU16	OTU161	OTU169	OTU17	OTU18	OTU19	OTU2	OTU20	OTU207	OTU21	OTU22	OTU224	OTU23	OTU24	OTU25	OTU26	OTU27	OTU28	OTU284	OTU29	OTU3	OTU30	OTU31	OTU32	OTU33	OTU34	OTU35	OTU36	OTU37	OTU38	OTU39	OTU4	OTU40	OTU401	OTU41	OTU42	OTU43	OTU432	OTU44	OTU45	OTU46	OTU47	OTU48	OTU49	OTU5	OTU50	OTU51	OTU52	OTU53	OTU54	OTU55	OTU552	OTU56	OTU57	OTU58	OTU59	OTU6	OTU60	OTU61	OTU62	OTU63	OTU64	OTU65	OTU66	OTU67	OTU68	OTU69	OTU7	OTU70	OTU71	OTU711	OTU72	OTU73	OTU74	OTU75	OTU76	OTU77	OTU79	OTU8	OTU80	OTU82	OTU83	OTU85	OTU9	OTU92	OTU98	OTU99
F1W6	AX	6.214821147	5.223754567	2.851767479	3.421199743	5.591038746	2.32547763	4.01475843	5.074799941	1.592590121	5.869131107	-0.719044808	1.393919426	-0.719044808	-0.719044808	2.901653134	4.327893193	4.556748049	-0.719044808	5.310547198	6.370349977	2.851767479	4.339514475	1.900339756	4.593265114	3.85940799	5.096712622	4.351002252	4.229715083	3.298156879	2.901653134	4.852417661	3.719319197	1.758257243	5.946175572	-0.719044808	4.163068172	-0.719044808	2.743846143	-0.719044808	3.740573982	4.01475843	3.740573982	-0.719044808	4.292196363	6.150819782	3.605689714	-0.719044808	4.061605403	-0.719044808	4.963606885	-0.719044808	4.267670303	-0.719044808	2.135333347	3.330365782	2.799261982	3.556357887	5.651945246	-0.719044808	4.267670303	4.229715083	-0.719044808	-0.719044808	6.000297673	-0.719044808	-0.719044808	4.229715083	2.135333347	2.622852832	-0.719044808	4.448853202	4.893087448	-0.719044808	-0.719044808	2.024723476	4.619803602	-0.719044808	-0.719044808	4.899707796	3.330365782	6.562841262	3.821344403	-0.719044808	-0.719044808	-0.719044808	-0.719044808	-0.719044808	2.685178295	1.592590121	-0.719044808	-0.719044808	4.149188699	-0.719044808	2.743846143	4.01475843	3.037918013	1.900339756	1.592590121	-0.719044808	3.330365782
F4W6	AX	3.97062978	-0.644490737	3.952463976	3.339430008	5.688465894	4.317081629	6.399938718	5.279035577	3.749958418	6.223483672	2.099277547	-0.644490737	5.975703674	6.533361073	1.974893827	-0.644490737	5.824195644	-0.644490737	-0.644490737	5.783908222	2.099277547	4.512995935	5.182045564	5.182045564	-0.644490737	6.524999238	5.913191137	5.019416265	5.380716258	4.898909561	3.895898474	-0.644490737	3.952463976	-0.644490737	5.013089132	4.136159474	-0.644490737	-0.644490737	-0.644490737	-0.644490737	4.967641519	2.630937257	-0.644490737	5.477004765	-0.644490737	3.876309209	4.195392182	-0.644490737	-0.644490737	5.798483614	-0.644490737	-0.644490737	3.3050032	3.749958418	5.849263103	-0.644490737	-0.644490737	-0.644490737	4.342224373	4.491842317	4.554006294	-0.644490737	2.697406902	-0.644490737	-0.644490737	-0.644490737	2.209887418	5.508435363	5.628557782	-0.644490737	-0.644490737	-0.644490737	-0.644490737	1.832811314	1.832811314	-0.644490737	-0.644490737	-0.644490737	-0.644490737	4.817413171	5.572115364	2.92632155	-0.644490737	-0.644490737	-0.644490737	-0.644490737	-0.644490737	-0.644490737	1.832811314	-0.644490737	-0.644490737	6.767395076	-0.644490737	-0.644490737	-0.644490737	5.938666976	5.668892605	3.06908133	-0.644490737	3.466383127
F9W6	AX	3.266597227	2.721326392	-0.68289671	6.263292259	5.607156129	2.83541008	6.829224212	5.623876131	2.659000929	5.297369	1.181887894	6.272002357	-0.68289671	-0.68289671	4.226410332	4.453436343	4.838927778	3.540613669	4.707004895	4.127808355	2.985316107	3.301024034	1.181887894	5.315588588	-0.68289671	2.271066151	5.14363959	4.981010292	4.034790143	1.181887894	4.375662572	5.519086575	5.385318418	5.489183394	2.271066151	5.048088159	-0.68289671	-0.68289671	5.49297056	3.665620146	5.22097778	3.950065493	-0.68289671	5.200932007	6.647806325	2.592531284	1.181887894	3.301024034	-0.68289671	-0.68289671	5.148985767	4.535491579	3.733750914	2.521326838	-0.68289671	4.755577778	4.731586223	4.409737419	-0.68289671	3.711552445	4.127808355	-0.68289671	1.79440534	-0.68289671	-0.68289671	-0.68289671	4.3038184	4.755577778	4.291326045	-0.68289671	4.185336797	4.485001299	-0.68289671	2.361625728	4.495305358	-0.68289671	-0.68289671	-0.68289671	4.564605716	2.444660956	4.794327298	2.985316107	-0.68289671	-0.68289671	4.464069086	-0.68289671	-0.68289671	3.932223807	3.733750914	1.430067524	-0.68289671	4.398507655	-0.68289671	4.001756586	3.592505985	4.485001299	5.48156576	-0.68289671	-0.68289671	-0.68289671
F11W6	AX	-0.506049133	-0.506049133	-0.506049133	-0.506049133	4.42973199	4.053552965	5.072307538	5.945569559	3.932314871	-0.506049133	2.898173969	2.113335431	-0.506049133	4.552510149	4.09090558	-0.506049133	4.712339156	6.426043928	-0.506049133	5.787370146	6.017513173	1.805585795	5.092709469	5.219020309	4.619536907	5.236662637	4.797255775	4.769743723	1.358735471	3.743743968	2.447913727	6.149859108	1.358735471	6.828220875	3.250913688	4.034340078	-0.506049133	-0.506049133	3.769353562	-0.506049133	5.810623145	4.575355232	-0.506049133	3.974382062	4.883852472	1.6069151	-0.506049133	4.243614865	7.613944694	-0.506049133	-0.506049133	-0.506049133	5.132305536	2.538473304	2.835848506	1.358735471	3.543361456	-0.506049133	-0.506049133	3.794323648	4.640916663	-0.506049133	4.493004197	-0.506049133	-0.506049133	-0.506049133	-0.506049133	3.574565236	3.690469054	7.725423697	1.971252917	5.753184626	-0.506049133	-0.506049133	-0.506049133	1.358735471	-0.506049133	-0.506049133	2.835848506	3.574565236	1.6069151	-0.506049133	-0.506049133	-0.506049133	-0.506049133	-0.506049133	-0.506049133	1.805585795	-0.506049133	-0.506049133	-0.506049133	6.459202886	2.348329022	3.662728024	-0.506049133	2.23771915	2.769378861	-0.506049133	-0.506049133	3.604824731
F23W6	AX	-0.452938751	6.734580975	3.167759191	3.423927998	5.499359627	2.401439404	5.191865473	5.335351971	4.357766314	-0.452938751	-0.452938751	-0.452938751	-0.452938751	-0.452938751	2.401439404	-0.452938751	5.111581656	-0.452938751	-0.452938751	5.896041296	4.429174229	-0.452938751	5.204641118	5.93041431	4.067861195	2.0243633	6.209961711	-0.452938751	4.969605492	4.832109146	1.858696178	6.255367309	1.660025483	5.692221827	3.30402407	5.440963081	-0.452938751	-0.452938751	2.591583687	-0.452938751	5.217255603	5.22350367	-0.452938751	5.435939207	6.842611279	-0.452938751	4.95341736	4.342851795	-0.452938751	-0.452938751	-0.452938751	-0.452938751	5.425815102	-0.452938751	-0.452938751	4.442863697	-0.452938751	-0.452938751	-0.452938751	-0.452938751	4.859371171	6.529333508	-0.452938751	-0.452938751	-0.452938751	7.256043252	-0.452938751	-0.452938751	5.152529035	-0.452938751	-0.452938751	5.933481326	6.701037197	5.097551261	-0.452938751	-0.452938751	-0.452938751	-0.452938751	-0.452938751	-0.452938751	-0.452938751	3.30402407	-0.452938751	-0.452938751	-0.452938751	-0.452938751	-0.452938751	-0.452938751	-0.452938751	-0.452938751	-0.452938751	6.648512544	-0.452938751	3.065368039	-0.452938751	5.465710694	1.411845853	-0.452938751	2.50102411	2.751284797
F29W6	AX	7.648475857	-0.611147015	4.47025735	-0.611147015	-0.611147015	-0.611147015	5.498302567	-0.611147015	2.24323114	-0.611147015	-0.611147015	-0.611147015	-0.611147015	-0.611147015	-0.611147015	1.866155035	-0.611147015	-0.611147015	-0.611147015	-0.611147015	-0.611147015	-0.611147015	-0.611147015	5.583443887	5.814311197	5.199177095	3.73736984	4.53581878	5.083808739	5.959353903	-0.611147015	5.199177095	5.799476331	-0.611147015	4.83519843	5.473766476	-0.611147015	-0.611147015	5.052759986	-0.611147015	4.49259217	3.585371172	-0.611147015	5.277730943	-0.611147015	-0.611147015	4.710087553	-0.611147015	-0.611147015	-0.611147015	-0.611147015	-0.611147015	-0.611147015	4.270965965	4.626744573	-0.611147015	-0.611147015	5.882606824	6.058697115	4.039344121	4.607241273	-0.611147015	6.032997768	-0.611147015	-0.611147015	-0.611147015	3.302692521	4.727701394	5.974522946	-0.611147015	-0.611147015	-0.611147015	-0.611147015	-0.611147015	2.008237549	-0.611147015	-0.611147015	-0.611147015	2.008237549	4.458900044	4.803335918	3.372773729	-0.611147015	-0.611147015	-0.611147015	4.607241273	-0.611147015	-0.611147015	-0.611147015	-0.611147015	-0.611147015	4.587350016	-0.611147015	2.24323114	5.236604613	-0.611147015	5.96443586	-0.611147015	4.056571075	4.718933254
F33W6	AX	1.237028206	-0.627756398	4.281550644	-0.627756398	7.270924719	-0.627756398	1.683878531	3.672616383	-0.627756398	-0.627756398	-0.627756398	-0.627756398	-0.627756398	-0.627756398	-0.627756398	-0.627756398	2.116011886	-0.627756398	-0.627756398	2.326206463	2.992941544	4.152893813	4.321003492	5.06106625	-0.627756398	5.029823471	4.71978394	4.240477109	-0.627756398	3.129206423	-0.627756398	5.319803757	3.696978124	6.163567205	5.085376167	5.592472239	-0.627756398	-0.627756398	3.321737539	-0.627756398	4.056896899	-0.627756398	-0.627756398	6.791787677	7.672885104	2.226621757	4.87201648	3.040456419	-0.627756398	-0.627756398	2.226621757	-0.627756398	-0.627756398	4.383484773	-0.627756398	-0.627756398	-0.627756398	1.683878531	5.648716195	3.766692757	4.762145207	-0.627756398	5.384179002	-0.627756398	-0.627756398	-0.627756398	4.212126521	-0.627756398	4.55044567	-0.627756398	-0.627756398	3.969198315	-0.627756398	-0.627756398	2.226621757	2.890550392	5.230436463	3.743990306	1.237028206	3.9506964	6.758545461	-0.627756398	-0.627756398	-0.627756398	-0.627756398	5.779873382	-0.627756398	-0.627756398	-0.627756398	-0.627756398	-0.627756398	2.776466705	-0.627756398	-0.627756398	3.040456419	5.300623117	1.237028206	-0.627756398	-0.627756398	3.541020759
F42W6	AX	5.668189106	-0.6615318	-0.6615318	6.974693928	5.580160727	1.815770251	6.368521559	5.536762125	-0.6615318	-0.6615318	1.203252805	-0.6615318	-0.6615318	-0.6615318	3.287962137	-0.6615318	5.271677476	6.578205129	-0.6615318	4.516670268	3.638840982	2.192846356	3.776832205	3.818899396	4.950600456	5.398228406	4.632686267	1.451432434	2.959166142	4.989680649	3.41908257	3.916920998	3.686985056	5.635242624	5.132312949	5.336953499	6.277634052	-0.6615318	3.287962137	4.744824311	4.845645777	2.85677499	-0.6615318	4.26109989	6.818281027	2.909280488	2.85677499	2.68036584	-0.6615318	-0.6615318	5.737063135	-0.6615318	2.909280488	2.192846356	3.755115825	2.382990638	5.051600766	5.681069657	2.082236484	3.215334949	4.711640014	-0.6615318	2.082236484	-0.6615318	1.650103129	-0.6615318	3.776832205	1.650103129	3.755115825	-0.6615318	3.137017055	5.614940793	-0.6615318	-0.6615318	1.203252805	-0.6615318	-0.6615318	-0.6615318	3.588261301	2.801359151	4.039774671	2.382990638	-0.6615318	5.148792311	-0.6615318	-0.6615318	-0.6615318	3.176942518	3.663202722	3.287962137	-0.6615318	4.686008538	-0.6615318	3.137017055	3.638840982	5.143329309	5.381101034	-0.6615318	-0.6615318	2.192846356
F44W6	AX	-0.521130757	6.954569165	3.779242025	-0.521130757	6.144089623	-0.521130757	6.736705043	6.621409144	-0.521130757	-0.521130757	-0.521130757	-0.521130757	-0.521130757	-0.521130757	1.790504172	-0.521130757	3.317343561	-0.521130757	-0.521130757	6.10148467	2.523391681	2.997176033	4.440441609	4.90941033	-0.521130757	4.782174151	5.449899145	2.754297238	5.486341347	4.057322041	-0.521130757	5.117223913	4.917343731	-0.521130757	4.868770849	4.83502661	-0.521130757	-0.521130757	3.589743108	-0.521130757	3.850615947	3.19244131	6.094203968	3.917233248	7.15551146	-0.521130757	4.978642121	-0.521130757	-0.521130757	3.728662344	-0.521130757	-0.521130757	-0.521130757	3.827386099	-0.521130757	-0.521130757	5.62792012	-0.521130757	4.440441609	2.432832104	5.267159965	-0.521130757	-0.521130757	-0.521130757	5.798819675	1.591833477	-0.521130757	-0.521130757	4.228533242	-0.521130757	-0.521130757	-0.521130757	-0.521130757	-0.521130757	-0.521130757	2.60642691	3.19244131	-0.521130757	-0.521130757	-0.521130757	4.075823956	-0.521130757	-0.521130757	-0.521130757	-0.521130757	-0.521130757	7.098281159	-0.521130757	-0.521130757	-0.521130757	-0.521130757	5.97536996	-0.521130757	3.277418098	1.343653848	5.227393294	-0.521130757	-0.521130757	-0.521130757	4.401500933
F53W6	AX	-0.756981571	5.509183423	1.986786712	2.99998125	4.038808974	2.911231246	5.522903412	5.763907294	2.370576095	-0.756981571	-0.756981571	-0.756981571	-0.756981571	-0.756981571	3.960705282	3.681382433	5.395944528	2.705909379	-0.756981571	3.723449624	4.931841076	2.518446423	3.466528808	4.346757614	3.927671725	3.992682427	5.131896387	3.041567284	-0.756981571	4.111251936	4.528066326	4.657501362	5.311233557	4.599175795	3.439536616	5.922046415	-0.756981571	-0.756981571	3.156857965	1.554653357	5.025724104	2.518446423	6.248642595	4.471205914	4.968087871	3.91073652	2.86371637	3.839973142	6.329376236	4.750196005	-0.756981571	2.584916068	4.410916438	3.49281153	3.156857965	2.99998125	4.097177108	1.107803033	1.862402993	1.720320479	4.590558766	-0.756981571	-0.756981571	-0.756981571	-0.756981571	-0.756981571	4.451510546	2.761325219	3.38326298	7.712376454	4.038808974	6.527402783	-0.756981571	-0.756981571	3.681382433	-0.756981571	-0.756981571	-0.756981571	4.082901348	2.097396584	2.813830716	2.447241977	-0.756981571	4.91946085	-0.756981571	-0.756981571	-0.756981571	3.119885177	2.86371637	2.911231246	4.564252997	4.913212782	-0.756981571	-0.756981571	3.081492746	4.564252997	-0.756981571	-0.756981571	-0.756981571	3.54339121
